title,company,location,link
"Customer Engineer, Machine Learning, Google Cloud Customers",Google,서울,https://kr.indeed.com/rc/clk?jk=add880a19f345249&fccid=a5b4499d9e91a5c6&vjs=3
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/rc/clk?jk=4bd70fb8a220d90d&fccid=0bed8e17bc113980&vjs=3
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=eeb9fe1c361f0758&fccid=aba87288e4cc3687&vjs=3
2021년 고려해운 DT 신입사원,고려해운,서울 중구,https://kr.indeed.com/rc/clk?jk=bf8b21d14a643975&fccid=e0ad989161d15b93&vjs=3
[데이터센터] (경력/신입) 카카오 데이터센터 Data Scientist 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=1806287902a1a36e&fccid=32b9af632cf3b9f9&vjs=3
데이터 분야 경력,LG CNS,서울,https://kr.indeed.com/rc/clk?jk=d17da0baecf05910&fccid=9635ff240e3de5f6&vjs=3
카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=2b2dcd3ffe3d53df&fccid=32b9af632cf3b9f9&vjs=3
[TGD] Data Scientist 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=14ed8097b3b4d463&fccid=a1e4e21b1f33cf40&vjs=3
프론트엔드 정규직,바이오에이아이,서울 강남구,https://kr.indeed.com/rc/clk?jk=a4015a0d112e9569&fccid=9bfd5ec15f64fd72&vjs=3
"웹개발, Python 외 경력 정규직",헬스브리즈,서울 금천구,https://kr.indeed.com/rc/clk?jk=37d376a03259d4bf&fccid=829eb35725439432&vjs=3
딥러닝 AI 개발 연구원,베이리스,성남 수정구,https://kr.indeed.com/rc/clk?jk=87309d3ff40ead61&fccid=ce871e9e4a9f430a&vjs=3
RPA Developer ( 1 year contract),UiPath,서울,https://kr.indeed.com/rc/clk?jk=6985dbbbf83fb8c2&fccid=13eb996a084cac98&vjs=3
데이터 전문가(모델러/분석가/엔지니어) 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=ac9068957c550cb3&fccid=32b9af632cf3b9f9&vjs=3
프론트앤드 개발,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=8783f7aed2707754&fccid=aba87288e4cc3687&vjs=3
"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",트윔,경기도 화성,https://kr.indeed.com/rc/clk?jk=a0dda478567db352&fccid=8236169ab3bd9551&vjs=3
[TmaxCloud/기술] ProLinux QA,티맥스소프트,성남 분당구,https://kr.indeed.com/rc/clk?jk=49526de7ae1c788c&fccid=445576e2a7ced0d6&vjs=3
테크센터개발팀 - 웹 프로그래머,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=650893f0672cebc3&fccid=aba87288e4cc3687&vjs=3
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=69ab0f58743cb713&fccid=aba87288e4cc3687&vjs=3
PostgreSQL 운영 및 데이터베이스 관리자 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=c39d18040425ef53&fccid=32b9af632cf3b9f9&vjs=3
"NAVER, LINE 서비스 플랫폼 운영",NIT Service,성남 삼평동,https://kr.indeed.com/rc/clk?jk=5e7dc1196f13b938&fccid=f85375bceacb7147&vjs=3
[기술 공채] 시스템 엔지니어링,NHN] [기술 경력공채,성남 판교역,https://kr.indeed.com/rc/clk?jk=29ccd8dfe494e5d5&fccid=a72ebaf825acf7af&vjs=3
Software Engineer,Google,서울,https://kr.indeed.com/rc/clk?jk=e7c8c2b11f24fb43&fccid=a5b4499d9e91a5c6&vjs=3
Data Analyst,뱅크샐러드,서울 영등포구,https://kr.indeed.com/rc/clk?jk=c35892a03ccf7332&fccid=35209469e1b8c72c&vjs=3
Computer Vision 개발자,인텔리코리아,서울 금천구,https://kr.indeed.com/rc/clk?jk=79ac23969bbd20ba&fccid=16ab77ef5888e778&vjs=3
K-POP 엔터테인먼트 플랫폼 서버 프로그래머 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=4e582cf138209b17&fccid=a1e4e21b1f33cf40&vjs=3
Data Mining Specialist,Thermo Fisher Scientific,서울,https://kr.indeed.com/rc/clk?jk=979279a9428ebc27&fccid=126e3afd205caa95&vjs=3
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=bfe0f5ac4f32ec89&fccid=32b9af632cf3b9f9&vjs=3
[해외취업] Teamlab (チームラボ)IT엔지니어 정규직,포유스,서울 문정동,https://kr.indeed.com/rc/clk?jk=5555958bdde0c7ec&fccid=9fc4ae6d92249193&vjs=3
"산업용 비전 처리 S/W 개발, AI 가속기 처리 S/W 개발 경력사원",여의시스템,성남 중원구,https://kr.indeed.com/rc/clk?jk=08fbc3e510fbe320&fccid=e26f613d014e5057&vjs=3
Deep Learning Engineer - Intel Contract,Intel,서울,https://kr.indeed.com/rc/clk?jk=69cc039b336a7d1a&fccid=f1374be6a45f4b8a&vjs=3
Technical Consultant Intern,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/rc/clk?jk=74f109233a14e204&fccid=fe2d21eef233e94a&vjs=3
AI Engineer,GE Appliances,경기도 성남,https://kr.indeed.com/rc/clk?jk=368e303e15b6bdb7&fccid=6a7f2fa034a3fd36&vjs=3
신입 및 경력직원 금융공학연구소 대체평가부문,한국자산평가,서울 종로구,https://kr.indeed.com/rc/clk?jk=0157d434ad2916ff&fccid=413114278f3d6174&vjs=3
Deep Learning Engineer,Intel,서울,https://kr.indeed.com/rc/clk?jk=6fc2719750916dd3&fccid=f1374be6a45f4b8a&vjs=3
